Mevcut Durum,Okunan Sembol,Sonraki Durum,Yazılan Sembol,Hareket
q_start,0,q_start,0,R
q_start,1,q_start,1,R
q_start,*,find_Y_end,*,R
find_Y_end,0,find_Y_end,0,R
find_Y_end,1,find_Y_end,1,R
find_Y_end,=,find_Y_bit,=,L
find_Y_bit,x,find_Y_bit,x,L
find_Y_bit,y,find_Y_bit,y,L
find_Y_bit,0,go_sx,x,L
find_Y_bit,1,go_add,y,L
find_Y_bit,*,halt_routine,*,R
halt_routine,x,halt_routine,0,R
halt_routine,y,halt_routine,1,R
halt_routine,=,q_accept,=,R
go_sx,0,go_sx,0,L
go_sx,1,go_sx,1,L
go_sx,x,go_sx,x,L
go_sx,y,go_sx,y,L
go_sx,*,sx_start,*,L
go_add,0,go_add,0,L
go_add,1,go_add,1,L
go_add,x,go_add,x,L
go_add,y,go_add,y,L
go_add,*,add_start,*,L
add_start,a,add_start,a,L
add_start,b,add_start,b,L
add_start,0,go_Z_add0,a,R
add_start,1,go_Z_add1,b,R
add_start,_,clean_X,_,R
go_Z_add0,0,go_Z_add0,0,R
go_Z_add0,1,go_Z_add0,1,R
go_Z_add0,a,go_Z_add0,a,R
go_Z_add0,b,go_Z_add0,b,R
go_Z_add0,*,go_Z_add0,*,R
go_Z_add0,x,go_Z_add0,x,R
go_Z_add0,y,go_Z_add0,y,R
go_Z_add0,=,find_Z_target_0,=,R
go_Z_add1,0,go_Z_add1,0,R
go_Z_add1,1,go_Z_add1,1,R
go_Z_add1,a,go_Z_add1,a,R
go_Z_add1,b,go_Z_add1,b,R
go_Z_add1,*,go_Z_add1,*,R
go_Z_add1,x,go_Z_add1,x,R
go_Z_add1,y,go_Z_add1,y,R
go_Z_add1,=,find_Z_target_1,=,R
find_Z_target_0,0,find_Z_target_0,0,R
find_Z_target_0,1,find_Z_target_0,1,R
find_Z_target_0,_,add0_to_target,_,L
find_Z_target_0,A,add0_to_target,A,L
find_Z_target_0,B,add0_to_target,B,L
find_Z_target_1,0,find_Z_target_1,0,R
find_Z_target_1,1,find_Z_target_1,1,R
find_Z_target_1,_,add1_to_target,_,L
find_Z_target_1,A,add1_to_target,A,L
find_Z_target_1,B,add1_to_target,B,L
add0_to_target,0,go_back_X,A,L
add0_to_target,1,go_back_X,B,L
add0_to_target,=,insert_A,=,R
add1_to_target,0,go_back_X,B,L
add1_to_target,1,carry_1,A,L
add1_to_target,=,insert_B,=,R
carry_1,0,go_back_X,1,L
carry_1,1,carry_1,0,L
carry_1,=,insert_1,=,R
insert_A,0,shift_Z_rem_0,A,R
insert_A,1,shift_Z_rem_1,A,R
insert_A,A,shift_Z_rem_A,A,R
insert_A,B,shift_Z_rem_B,A,R
insert_A,_,go_back_X,A,L
insert_B,0,shift_Z_rem_0,B,R
insert_B,1,shift_Z_rem_1,B,R
insert_B,A,shift_Z_rem_A,B,R
insert_B,B,shift_Z_rem_B,B,R
insert_B,_,go_back_X,B,L
insert_1,0,shift_Z_rem_0,1,R
insert_1,1,shift_Z_rem_1,1,R
insert_1,A,shift_Z_rem_A,1,R
insert_1,B,shift_Z_rem_B,1,R
insert_1,_,go_back_X,1,L
shift_Z_rem_0,0,shift_Z_rem_0,0,R
shift_Z_rem_0,1,shift_Z_rem_1,0,R
shift_Z_rem_0,A,shift_Z_rem_A,0,R
shift_Z_rem_0,B,shift_Z_rem_B,0,R
shift_Z_rem_0,_,go_back_X,0,L
shift_Z_rem_1,0,shift_Z_rem_0,1,R
shift_Z_rem_1,1,shift_Z_rem_1,1,R
shift_Z_rem_1,A,shift_Z_rem_A,1,R
shift_Z_rem_1,B,shift_Z_rem_B,1,R
shift_Z_rem_1,_,go_back_X,1,L
shift_Z_rem_A,0,shift_Z_rem_0,A,R
shift_Z_rem_A,1,shift_Z_rem_1,A,R
shift_Z_rem_A,A,shift_Z_rem_A,A,R
shift_Z_rem_A,B,shift_Z_rem_B,A,R
shift_Z_rem_A,_,go_back_X,A,L
shift_Z_rem_B,0,shift_Z_rem_0,B,R
shift_Z_rem_B,1,shift_Z_rem_1,B,R
shift_Z_rem_B,A,shift_Z_rem_A,B,R
shift_Z_rem_B,B,shift_Z_rem_B,B,R
shift_Z_rem_B,_,go_back_X,B,L
