Mevcut Durum,Okunan Sembol,Sonraki Durum,Hareket
q0,0,q1,R
q0,1,q1,R
q0,2,q1,R
q0,3,q1,R
q0,4,q1,R
q0,5,q1,R
q0,6,q1,R
q0,7,q1,R
q0,8,q1,R
q0,9,q1,R
q0,A,q_reject,R
q0,B,q_reject,R
q0,C,q_reject,R
q0,D,q_reject,R
q0,E,q_reject,R
q0,F,q_reject,R
q0,G,q_reject,R
q0,H,q_reject,R
q0,I,q_reject,R
q0,J,q_reject,R
q0,K,q_reject,R
q0,L,q_reject,R
q0,M,q_reject,R
q0,N,q_reject,R
q0,O,q_reject,R
q0,P,q_reject,R
q0,Q,q_reject,R
q0,R,q_reject,R
q0,S,q_reject,R
q0,T,q_reject,R
q0,U,q_reject,R
q0,V,q_reject,R
q0,W,q_reject,R
q0,X,q_reject,R
q0,Y,q_reject,R
q0,Z,q_reject,R
q0,a,q_reject,R
q0,b,q_reject,R
q0,c,q_reject,R
q0,d,q_reject,R
q0,e,q_reject,R
q0,f,q_reject,R
q0,g,q_reject,R
q0,h,q_reject,R
q0,i,q_reject,R
q0,j,q_reject,R
q0,k,q_reject,R
q0,l,q_reject,R
q0,m,q_reject,R
q0,n,q_reject,R
q0,o,q_reject,R
q0,p,q_reject,R
q0,q,q_reject,R
q0,r,q_reject,R
q0,s,q_reject,R
q0,t,q_reject,R
q0,u,q_reject,R
q0,v,q_reject,R
q0,w,q_reject,R
q0,x,q_reject,R
q0,y,q_reject,R
q0,z,q_reject,R
q0,_,q_reject,R
q1,0,q2,R
q1,1,q2,R
q1,2,q2,R
q1,3,q2,R
q1,4,q2,R
q1,5,q2,R
q1,6,q2,R
q1,7,q2,R
q1,8,q2,R
q1,9,q2,R
q1,A,q_reject,R
q1,B,q_reject,R
q1,C,q_reject,R
q1,D,q_reject,R
q1,E,q_reject,R
q1,F,q_reject,R
q1,G,q_reject,R
q1,H,q_reject,R
q1,I,q_reject,R
q1,J,q_reject,R
q1,K,q_reject,R
q1,L,q_reject,R
q1,M,q_reject,R
q1,N,q_reject,R
q1,O,q_reject,R
q1,P,q_reject,R
q1,Q,q_reject,R
q1,R,q_reject,R
q1,S,q_reject,R
q1,T,q_reject,R
q1,U,q_reject,R
q1,V,q_reject,R
q1,W,q_reject,R
q1,X,q_reject,R
q1,Y,q_reject,R
q1,Z,q_reject,R
q1,a,q_reject,R
q1,b,q_reject,R
q1,c,q_reject,R
q1,d,q_reject,R
q1,e,q_reject,R
q1,f,q_reject,R
q1,g,q_reject,R
q1,h,q_reject,R
q1,i,q_reject,R
q1,j,q_reject,R
q1,k,q_reject,R
q1,l,q_reject,R
q1,m,q_reject,R
q1,n,q_reject,R
q1,o,q_reject,R
q1,p,q_reject,R
q1,q,q_reject,R
q1,r,q_reject,R
q1,s,q_reject,R
q1,t,q_reject,R
q1,u,q_reject,R
q1,v,q_reject,R
q1,w,q_reject,R
q1,x,q_reject,R
q1,y,q_reject,R
q1,z,q_reject,R
q1,_,q_reject,R
q2,A,q3,R
q2,B,q3,R
q2,C,q3,R
q2,D,q3,R
q2,E,q3,R
q2,F,q3,R
q2,G,q3,R
q2,H,q3,R
q2,I,q3,R
q2,J,q3,R
